ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film4083],Daughters of Darkness,46175,/wzbUpuZtMIf1OCQhtMcs9vFDcBa.jpg,1971-05-28,100,"Horror,Thriller",en,"Delphine Seyrig,John Karlen,Danielle Ouimet,Andrea Rau,Paul Esser",Harry Kümel,"Luggi Waldleitner,Paul Collet,Henry Lange","Manfred R. Köhler,Pierre Drouot,Harry Kümel,Jean Ferry,Joseph Amiel",,"Denis Bonan,August Verschueren,Hans Zeiler",Eduard van der Enden,François de Roubaix,Françoise Hardy,,Bernard Perris,Pascale Kellen
[Film408],Slap Shot,11590,/k5dvEA7ajd90mf3KrF6m6LnYXOv.jpg,1977-02-25,123,"Comedy,Drama",en,"Paul Newman,Strother Martin,Michael Ontkean,Jennifer Warren,Lindsay Crouse",George Roy Hill,"Stephen J. Friedman,Robert J. Wunsch",Nancy Dowd,,Dede Allen,Victor J. Kemper,,,,Tom Bronson,Stephen Abrums
[Film40933],Earth Light,84385,/8jGO9ZFAi2byaKkaGhJbePnsxW4.jpg,1970-11-18,98,Drama,fr,"Patrick Jouané,Edwige Feuillère,Annie Girardot,Micheline Presle,Elina Labourdette",Guy Gilles,Claude Lelouch,Guy Gilles,,Jean-Pierre Desfosse,"Philippe Rousselot,Guy Gilles",Jean-Pierre Stora,,,,Gisèle Jacquin
[Film409],The Texas Chain Saw Massacre,30497,/9s8uSm5K1W0vhGPHv2icM6SFib8.jpg,1974-10-01,83,Horror,en,"Marilyn Burns,Allen Danziger,Paul A. Partain,William Vail,Teri McMinn",Tobe Hooper,Tobe Hooper,,Wayne Bell,"J. Larry Carroll,Sallye Richardson",Daniel Pearl,,Robert A. Burns,,,"Dorothy J. Pearl,W.E. Barnes"
[Film41125],Raggedy Ann & Andy: A Musical Adventure,,,,,,,,,,,,,,,,,,
[Film4121],Midnight Express,11327,/mW54BtqVRxrPnoO9gQQjTLJlnuU.jpg,1978-08-31,121,"Drama,Crime",en,"Brad Davis,Irene Miracle,Bo Hopkins,Paolo Bonacelli,Paul L. Smith",Alan Parker,"Alan Marshall,David Puttnam",,,Gerry Hambling,Michael Seresin,Giorgio Moroder,Evan Hercules,Geoffrey Kirkland,Milena Canonero,"Mary Hillman,Penny Steyne"
[Film41294],Leadbelly,63773,/8QcrO6gmkfYgMOGFASBrYmQmG4a.jpg,1976-05-28,126,Drama,en,"Roger E. Mosley,Paul Benjamin,Madge Sinclair,Alan Manson,Albert Hall",Gordon Parks,Marc Merson,Ernest Kinoy,,"Thomas Penick,Moe Howard",Bruce Surtees,Fred Karlin,,Robert F. Boyle,,
[Film4139],Alice in the Cities,2204,/lw22wORmENkTZHGXI6bKmAIHxjO.jpg,1974-05-17,110,Drama,de,"Rüdiger Vogler,Yella Rottländer,Lisa Kreuzer,Edda Köchl,Ernest Boehm",Wim Wenders,"Wim Wenders,Joachim von Mengershausen",,Martin Müller,Peter Przygodda,Robby Müller,Irmin Schmidt,,,,
[Film41500],Fleshpot on 42nd Street,,,,,,,,,,,,,,,,,,
[Film4179],Close Encounters of the Third Kind,840,/4zfedS25uMAhgm6YQhc9bhKHbLl.jpg,1977-11-18,137,"Science Fiction,Drama",en,"Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,Bob Balaban",Steven Spielberg,"Clark L. Paylow,Julia Phillips,Michael Phillips","Steven Spielberg,Matthew Robbins,Hal Barwood,Jerry Belson,John Hill",,Michael Kahn,Vilmos Zsigmond,John Williams,Daniel A. Lomino,Joe Alves,,
[Film4192],Charley Varrick,27331,/qPG2VPNA72he1Kczm2yFmslPNZN.jpg,1973-09-19,111,"Crime,Thriller",en,"Walter Matthau,Joe Don Baker,Felicia Farr,Andrew Robinson,Sheree North",Don Siegel,Don Siegel,,,Frank Morriss,Michael C. Butler,Lalo Schifrin,Fernando Carrere,,Helen Colvig,
[Film4199],Tristana,35838,/uaiLcib2Hd4cbSDUMlVW8411pav.jpg,1970-03-29,95,Drama,es,"Catherine Deneuve,Fernando Rey,Franco Nero,Lola Gaos,Antonio Casas",Luis Buñuel,"Luis Buñuel,Robert Dorfmann",Julio Alejandro,,Pedro del Rey,José F. Aguayo,,,Enrique Alarcón,Rosa García,"Julián Ruiz,Miguel Sesé"
[Film420],Shaft,482,/z1BKZmF9kj1NzGhKLCax48cjVl4.jpg,1971-06-25,100,"Action,Crime,Thriller",en,"Richard Roundtree,Moses Gunn,Charles Cioffi,Christopher St. John,Gwenn Mitchell",Gordon Parks,"Joel Freeman,Roger H. Lewis,David Golden",,,Hugh A. Robertson,Urs Furrer,"Isaac Hayes,J.J. Johnson",Emanuel Gerard,,,Martin Bell
[Film4230],Last Tango in Paris,1643,/vDuI72CpwWYIWJzNNA01PA2Utdr.jpg,1972-10-14,129,"Drama,Romance",it,"Marlon Brando,Maria Schneider,Catherine Breillat,Veronica Lazăr,Jean-Pierre Léaud",Bernardo Bertolucci,Alberto Grimaldi,,,"Franco Arcalli,Roberto Perpignani",Vittorio Storaro,Gato Barbieri,,"Ferdinando Scarfiotti,Philippe Turlure,Maria Paola Maino,Albert Rajau",Gitt Magrini,
[Film4238],Fox and His Friends,42254,/uYHNK7VycMOcD9Jv5qgjIdvDwgG.jpg,1975-06-06,125,"Drama,Romance",de,"Rainer Werner Fassbinder,Peter Chatel,Karlheinz Böhm,Adrian Hoven,Christiane Maybach",Rainer Werner Fassbinder,Rainer Werner Fassbinder,"Rainer Werner Fassbinder,Christian Hohoff",,Thea Eymèsz,Michael Ballhaus,Peer Raben,,Kurt Raab,,
[Film4242],Wise Blood,42179,/vUnf7gbhFXPVuVO4JiprOpPe3Lk.jpg,1979-10-24,106,"Comedy,Drama",en,"Brad Dourif,Dan Shor,Amy Wright,Harry Dean Stanton,Mary Nell Santacroce",John Huston,"Michael Fitzgerald,Kathy Fitzgerald",,,Roberto Silvi,Gerry Fisher,,,,,Allan A. Apone
[Film4256],Multiple Maniacs,25625,/pro4OiTibouFxb6O5GhddSUImI7.jpg,1970-04-10,97,"Crime,Comedy",en,"Divine,David Lochary,Mary Vivian Pearce,Mink Stole,Cookie Mueller",John Waters,John Waters,John Waters,,John Waters,John Waters,George S. Clinton,,,,
